ENTREZID,logFC
7124,0.660301494
7132,0.685744734
8717,-0.214090957
7188,-1.899010121
331,0.711791423
10616,0.589481264
81858,-0.663483048
124044,0.660372032
9825,0.436009494
1540,-1.010228459
8772,0.56611931
8837,0.601860458
11035,0.492936601
1536,1.007401617
817,-0.440770168
818,-0.51367586
291,-0.401301559
292,-0.422739117
293,-0.608277242
5481,0.356270531
7416,-0.35025193
7417,-0.192188868
7419,-0.367083509
2746,-0.425289973
5836,1.196232792
5601,-0.375642973
2495,0.359419108
246,-1.440561468
823,0.467812806
6609,0.86859234
197259,0.656935677
10059,-0.386709336
29108,0.674513198
834,0.926175828
3553,0.971410116
27243,0.625919864
128866,0.506489374
9525,-0.158144954
27183,0.522462655
5119,0.581869536
51510,0.826428672
91782,-0.717090246
8743,0.9418817
8795,-0.507737462
356,-0.834087055
355,0.938383898
3458,-0.578908964
3454,1.19150819
3455,0.281309114
3459,0.7078434
3460,0.968285853
3717,1.458900229
3718,0.556935218
7297,-0.268030681
6772,0.764853208
6774,0.463911031
6775,-1.258628365
6776,0.486002141
6777,0.221166421
10379,0.207223865
7099,1.37558484
148022,0.651897212
81030,0.490398806
3320,0.314078154
7128,0.853357154
142,-0.596357892
3014,0.527451159
8338,1.975720619
3012,0.684135202
55506,-0.905549803
9555,0.55958756
55766,1.585029507
8336,0.622491511
317772,2.008974037
3013,0.205223794
5478,-0.599573051
596,-1.497809452
