ENTREZID,logFC
8767,0.396775686
8517,0.308640602
1147,0.538991884
3551,-0.336498493
4793,1.126859787
4792,1.301949889
4790,0.367349262
5970,0.312815897
3553,0.971410116
7124,0.660301494
3576,-1.914698605
6352,-1.012856066
820,1.232573514
1669,2.068893339
64127,0.512960585
6885,-0.271295722
10454,-0.300392646
5594,0.386305921
5595,0.602365644
5601,-0.375642973
5600,0.281204406
1432,2.154539652
3725,0.340741178
55054,-0.49297053
9474,-0.254747713
11337,0.742392753
11345,0.461381968
81631,0.461513136
84557,0.372085325
643246,-0.5462091
81858,-0.663483048
10616,0.589481264
331,0.711791423
84674,1.22840582
7205,0.695403835
7188,-1.899010121
7189,0.336973551
7128,0.853357154
57506,0.565701424
7187,0.627041244
29110,0.387627148
10010,0.446283746
3661,-0.355103852
3665,1.099012137
79671,0.310666956
118429,0.319170595
22861,-1.71048425
29108,0.674513198
834,0.926175828
596,-1.497809452
598,-0.930007746
5027,0.392568302
7226,2.207179848
23236,-0.222874478
5330,-0.503860035
3708,-0.653321165
3710,-1.453963561
7416,-0.35025193
7417,-0.192188868
7419,-0.367083509
90550,0.540829831
4938,1.163636489
6041,0.718849628
56919,-0.29363257
9927,0.916038375
11035,0.492936601
10059,-0.386709336
10135,0.972718083
1536,1.007401617
1535,0.888206331
7295,1.070882608
25828,0.431178665
79184,-0.475675814
3320,0.314078154
4210,0.684881651
9051,0.279930175
8772,0.56611931
440068,2.946458204
114769,1.950145886
91662,0.407338773
4671,2.352649042
58484,2.902607537
5580,0.828494335
2634,1.047597593
115362,1.438861648
9447,2.90142517
3428,0.537719553
7158,-0.293719843
387,0.207601457
5585,0.52799682
5586,-0.565897168
7531,0.588194661
2633,1.653114637
2635,1.065403514
115361,1.203822432
838,2.901262284
837,0.879966265
79792,0.968741443
3454,1.19150819
3455,0.281309114
7297,-0.268030681
6772,0.764853208
10379,0.207223865
7099,1.37558484
148022,0.651897212
4615,1.009426012
51135,0.470880513
