ENTREZID,logFC
1950,0.721197963
7039,1.156597199
2254,-0.328664145
8817,0.431066966
8074,0.303557155
5154,0.808680394
5155,-0.315729594
56034,1.601455964
80310,-0.639237139
4254,0.337055669
2323,-1.507542288
7423,-1.18611664
7424,0.23992976
3082,0.793341324
284,-0.624998067
2064,-1.012316554
1436,-0.981177755
3815,-0.376513976
2322,0.760960412
4233,0.534670594
2885,0.640205931
6655,0.915664516
3845,0.400714985
4893,0.924498984
5605,0.263683989
5594,0.386305921
5595,0.602365644
7097,2.097610131
7099,1.37558484
5879,0.202793693
6850,0.396113519
930,-0.958152288
118788,1.635684258
5008,1.871436071
3565,-0.411069478
3559,-0.435022273
3560,-1.67051249
3561,0.841338941
3570,0.850531482
3566,1.20205539
3575,-1.546861906
3454,1.19150819
3455,0.281309114
1441,0.670787605
3717,1.458900229
3718,0.556935218
1293,1.215227597
1299,0.30188939
3911,-0.591786784
3915,0.649870298
7060,-0.365787521
3371,-1.233977492
7450,0.870952773
3674,1.219151284
3676,-0.79264623
3655,-0.407852383
3679,0.501074449
3680,0.5497614
3688,-0.426405871
3690,0.879054965
3695,-1.075268323
5290,0.291097665
5293,0.26048526
5291,0.902404172
5295,-0.786426339
5296,-0.729629038
57121,-0.884076852
10161,-0.747478301
2783,0.984031081
59345,0.794025425
10681,-0.449176193
2787,1.302437337
2788,-1.23801349
94235,1.238215058
2790,0.743415996
2791,-0.803661265
146850,-1.222435393
7248,-0.450807616
2475,-0.329272598
1978,0.228478357
9470,0.480005694
6198,-0.540827591
6199,-0.254084077
1975,-1.008183913
6194,-0.697960707
5578,-0.417869876
5585,0.52799682
5586,-0.565897168
6446,-1.581438537
207,-0.885064643
10000,-0.256141291
5728,0.349470537
5515,0.237952077
5519,0.197229937
55844,-0.314786829
28227,-0.340313893
55012,0.346298941
5528,-0.319986499
5529,-0.347315007
5525,0.474079438
3320,0.314078154
23239,0.425102879
8115,-1.181720989
672,0.509135677
2932,0.660181072
4609,-0.97400513
1026,0.575775576
1021,-0.554973524
894,-1.048343766
896,0.602915195
898,0.368676927
9134,0.435396415
2309,-0.679196731
5934,-0.873041425
356,-0.834087055
10018,0.658089265
10971,-0.463611221
7531,0.588194661
7533,0.571916087
7532,0.485019798
572,0.541670549
598,-0.930007746
596,-1.497809452
842,0.639123798
9586,0.819000081
4170,0.246038606
6256,0.293443352
8517,0.308640602
1147,0.538991884
3551,-0.336498493
5970,0.312815897
4790,0.367349262
4602,-0.953912881
4193,0.300242273
