ENTREZID,logFC
777,2.772335712
8911,-1.303360806
779,0.437213395
9254,-0.971675952
55799,-1.504548107
93589,-0.586302822
785,-0.247954404
59285,-2.263631972
5566,0.202898004
5567,-0.385329895
5578,-0.417869876
5579,0.227975247
2768,-0.674961817
5533,-1.226620821
10125,-1.803685235
10235,-0.52024559
25780,-0.863225631
115727,0.86720171
4763,0.442032823
5921,-0.205731924
5908,0.251057975
1950,0.721197963
7039,1.156597199
2254,-0.328664145
8817,0.431066966
8074,0.303557155
5154,0.808680394
5155,-0.315729594
56034,1.601455964
80310,-0.639237139
4254,0.337055669
2323,-1.507542288
7423,-1.18611664
7424,0.23992976
3082,0.793341324
284,-0.624998067
2064,-1.012316554
1436,-0.981177755
3815,-0.376513976
2322,0.760960412
4233,0.534670594
2885,0.640205931
6655,0.915664516
3845,0.400714985
4893,0.924498984
6237,1.052564515
22800,-0.941736855
5605,0.263683989
8649,0.552181378
5594,0.386305921
5595,0.602365644
8569,1.070886858
2872,0.235273924
6195,0.509650365
6196,-0.777263304
2002,0.428505442
4609,-0.97400513
6722,0.239479971
7124,0.660301494
3553,0.971410116
7132,0.685744734
3554,1.227195878
3556,0.519207619
356,-0.834087055
355,0.938383898
929,0.837534694
5879,0.202793693
5880,0.580223738
8717,-0.214090957
4615,1.009426012
51135,0.470880513
7189,0.336973551
1647,1.805089306
4616,1.356683583
10912,1.269539057
10454,-0.300392646
51295,-0.471675909
11184,-1.452882182
6788,1.560945113
5871,-0.491110782
1326,0.538770814
4296,0.763433611
4215,0.744483704
7786,-0.320301932
51776,1.617880102
4217,0.47700598
6885,-0.271295722
4216,-1.125580799
9344,0.471611026
6416,-0.328652398
5606,-0.490316827
23162,-0.373942788
2317,-0.447696328
1398,0.249322714
1399,-0.183290594
408,-0.693774682
409,0.713295314
5601,-0.375642973
5600,0.281204406
1432,2.154539652
8550,-0.549606967
9261,0.662879459
9252,-2.078069069
994,-1.50787616
4775,-0.648531202
3725,0.340741178
3727,-0.228080888
1649,0.330704193
4208,-1.241075467
207,-0.885064643
10000,-0.256141291
5801,0.355978177
1843,0.66292486
1844,-0.277245944
1850,-1.021867839
1847,0.703170501
80824,0.450689871
1848,-0.534553311
1845,1.462392066
3312,-0.687292528
3303,1.025540531
3305,0.249828996
3304,1.414840679
5607,-0.64973894
9020,-0.774462517
1147,0.538991884
3551,-0.336498493
8517,0.308640602
51701,0.612182971
4790,0.367349262
4791,0.824030988
5970,0.312815897
5971,1.266072832
