ENTREZID,logFC
6348,1.237340388
6349,0.236581749
6352,-1.012856066
6368,-1.974759178
6374,-1.019986301
3576,-1.914698605
3627,2.351849379
58191,1.731545905
9547,0.495874728
3565,-0.411069478
3600,1.040986058
51561,-0.909057607
10148,1.224262003
23529,-0.697146222
5008,1.871436071
3586,-0.363706768
3458,-0.578908964
3553,0.971410116
3557,1.641384292
56300,0.493462292
64806,-0.620746989
3603,-0.332104766
9235,-1.201413846
7124,0.660301494
4049,-0.764380712
4050,-0.715462898
356,-0.834087055
8743,0.9418817
8742,-0.33688423
970,0.4249256
944,-0.605097126
959,-1.499177408
8744,0.199671955
7292,-0.407441173
8741,1.109887072
10673,0.921147409
10220,-1.202612305
3625,0.425938668
650,0.344161482
10803,-0.499230489
1236,-1.882924685
1233,-0.323619193
1232,-4.00365737
1230,1.082694653
3577,0.86242476
2833,-1.121993586
643,-1.599204214
7852,-0.766029964
57007,-1.522449316
1524,-1.211544966
3559,-0.435022273
3560,-1.67051249
3561,0.841338941
3566,1.20205539
3575,-1.546861906
3581,-0.874386167
64109,0.214514122
1439,1.07073402
3568,-1.313111562
3597,0.18418669
1441,0.670787605
3570,0.850531482
3590,-2.010922966
9466,-0.730793843
3587,-0.74012621
3588,0.8334385
163702,-0.714322543
3454,1.19150819
3455,0.281309114
3459,0.7078434
3460,0.968285853
3554,1.227195878
3556,0.519207619
7850,2.780344607
8809,2.514529631
8807,1.898317885
9173,0.310196246
23765,0.914737323
920,-1.30271332
1436,-0.981177755
7132,0.685744734
7133,0.523612242
4055,0.989861181
355,0.938383898
8718,-2.433252321
8795,-0.507737462
8794,0.428885408
8793,0.446242863
27242,-0.703389451
10913,-0.70371305
939,-1.685304003
943,0.362559513
958,0.80590696
7293,-0.932228936
84957,0.212393032
94,0.552414914
92,-1.068037782
659,-0.319786022
91,1.451372258
90,-0.298067241
