ENTREZID,logFC
8140,0.905437928
6520,0.507632248
153129,-0.322161594
526,0.680954782
528,1.154344659
51382,0.521808887
529,0.421230182
51606,0.646822481
55004,0.617358839
28956,0.508705635
8649,0.552181378
10542,0.518762394
64121,0.520901223
58528,1.305004274
83667,1.195573617
81929,-0.611590947
79726,-0.866665902
6396,0.241805386
9681,-0.298215553
10641,-0.78192962
8131,-0.59684269
6502,-0.551361638
2475,-0.329272598
6249,0.480336971
2887,2.691977301
23175,-1.222933788
9663,-0.277038521
9706,-0.447320615
1978,0.228478357
9470,0.480005694
6198,-0.540827591
6199,-0.254084077
1975,-1.008183913
6194,-0.697960707
92335,0.203379075
55437,-1.747331429
51719,0.552157868
81617,0.670599092
7248,-0.450807616
51256,0.754514453
8321,0.491426752
8324,0.270739459
7976,-0.48427253
7855,0.263778976
1855,0.565293841
2932,0.660181072
7124,0.660301494
7132,0.685744734
3551,-0.336498493
2885,0.640205931
6655,0.915664516
3845,0.400714985
4893,0.924498984
5605,0.263683989
5594,0.386305921
5595,0.602365644
6195,0.509650365
6196,-0.777263304
5295,-0.786426339
5296,-0.729629038
5290,0.291097665
5293,0.26048526
5291,0.902404172
5728,0.349470537
207,-0.885064643
10000,-0.256141291
1147,0.538991884
79109,0.1907893
55615,-1.587866357
387,0.207601457
5578,-0.417869876
5579,0.227975247
6446,-1.581438537
