ENTREZID,logFC
3565,-0.411069478
3586,-0.363706768
3600,1.040986058
51561,-0.909057607
3458,-0.578908964
5008,1.871436071
1950,0.721197963
5154,0.808680394
5155,-0.315729594
3559,-0.435022273
3560,-1.67051249
3561,0.841338941
3566,1.20205539
3568,-1.313111562
3570,0.850531482
3575,-1.546861906
3581,-0.874386167
3587,-0.74012621
3588,0.8334385
3590,-2.010922966
3597,0.18418669
9466,-0.730793843
3454,1.19150819
3455,0.281309114
3459,0.7078434
3460,0.968285853
163702,-0.714322543
64109,0.214514122
1439,1.07073402
1441,0.670787605
3717,1.458900229
3718,0.556935218
7297,-0.268030681
6772,0.764853208
6774,0.463911031
6775,-1.258628365
6776,0.486002141
6777,0.221166421
8651,1.732024357
8835,-0.909615085
9021,2.865433239
122809,-0.409114712
596,-1.497809452
4170,0.246038606
598,-0.930007746
4609,-0.97400513
894,-1.048343766
896,0.602915195
1026,0.575775576
10254,0.680111796
5771,0.574059722
5777,0.489148169
10379,0.207223865
8554,-0.144576823
9063,0.363297515
5781,-0.178681259
2885,0.640205931
6655,0.915664516
5290,0.291097665
5293,0.26048526
5291,0.902404172
5295,-0.786426339
5296,-0.729629038
207,-0.885064643
10000,-0.256141291
2475,-0.329272598
