ENTREZID,logFC
414062,0.2220787
6355,0.1477765
6368,0.063273171
6364,0.106213631
2921,0.082874337
6374,-0.2282837
3627,0.288151584
58191,-0.574442914
3565,0.04391818
1443,0.05445019
3952,0.3697854
3444,0.05551888
3446,-0.07138603
27178,0.415001816
64806,0.04829328
3603,-0.137085508
7124,-0.1762549
9966,0.328499
8742,-0.2011083
970,0.0753422
944,-0.05802479
651,0.05090359
83729,0.079666273
10803,0.09881454
1232,-0.3697964
3579,-0.451977
57007,-0.142425317
1524,-0.6831144
3560,-0.4193722
3561,0.34379765
1439,-0.132687393
3597,-0.4101147
1441,-0.462726833
3570,-0.334566745
3572,-0.2033452
163702,0.1023554
3455,0.2327713
3556,-0.3706392
8807,-0.5907579
132014,0.081193713
920,-0.1807799
355,-0.1560873
8795,-0.535767084
4804,0.08460282
939,0.3514313
958,0.06594965
608,0.573185487
23495,0.373273493
115650,0.122887345
84957,0.11253
7048,-0.415269078
94,-0.03821759
91,-0.2591483
657,-0.04485962
