ENTREZID,logFC
6520,-0.335114059
523,-0.425677036
526,-0.426987984
528,-1.02319773
51382,-0.65568199
90423,0.468751659
9296,-0.847527208
9550,-0.419443933
51606,-0.347763411
10670,0.442901441
58528,-0.703476505
81929,-0.715556943
79726,0.486321955
6396,-0.772374161
9681,-0.277929689
6502,-0.227082212
9894,-0.686896251
2887,-0.298972317
9663,0.593817989
8408,0.584263586
9706,0.330300785
1978,-0.575900553
9470,-0.733644621
6198,0.248476879
81617,-0.383122329
5562,0.622195947
5563,0.19583556
7248,-0.663548157
7249,-0.438157105
54541,2.097781368
7472,-0.149870326
7474,1.854509098
7480,-0.123146424
8323,0.197607673
8326,0.339086284
6654,0.356732725
3265,-0.591166957
673,0.219522589
5894,0.407184443
5604,0.671079954
5605,-0.473545462
6197,0.575994989
6195,-0.846140741
6196,-2.657089145
3667,0.291687892
5295,-0.510155625
5296,-0.72864219
5293,0.683189026
5170,-0.480481775
253260,0.916453941
55615,0.298467826
