ENTREZID,logFC
10392,-0.472657606
4792,1.201103436
4790,1.171230545
5970,0.471198218
3553,4.704100292
3569,2.683036586
2919,4.651536969
2920,1.468781195
6347,0.857204405
6352,3.723946161
55894,-0.275868419
64127,1.712241066
5599,-0.22366372
5603,-1.669540085
3725,-0.74846968
9474,-0.237818739
11345,-0.181278655
84557,1.606757654
81858,-0.349229726
84674,0.681479744
7205,-0.801108451
329,0.660815446
330,1.657034094
7188,1.029351292
7189,0.254836704
64170,-1.084927532
7128,1.573328864
7187,-0.404988484
29110,0.970645814
9641,0.617742816
10010,1.265105208
3665,1.867824772
3449,-0.170588517
3456,0.761617073
79671,-0.616744361
118429,1.027005583
29108,-0.726902136
598,-0.285408095
1508,-0.789987779
114548,1.506906375
24145,0.404618478
5027,-1.118971684
7226,0.128547181
54822,0.25197249
51393,-1.190470118
23236,-0.250779673
5330,-1.03387353
3708,-0.787165697
3709,1.266884184
3710,1.428466106
7416,-0.84560635
7417,-0.348510671
7419,-0.658204075
56919,-0.812434464
9927,-0.889545154
8737,0.390805723
1536,0.808232199
1535,0.507489985
10628,-0.671243971
7295,-0.404817734
25828,-0.78767789
140609,0.41253541
79184,-0.153127779
3320,-0.882422364
3326,-1.325780101
4210,0.607891565
841,0.813170685
199713,0.205681537
2634,2.143385831
115362,3.202219106
9447,2.137077042
3428,1.346578332
5585,0.381880592
5586,0.418609777
2633,2.477759693
2635,0.913140531
115361,2.471174641
838,0.766137156
837,0.859993176
3454,0.434156785
148022,0.37721284
51135,0.523602956
