ENTREZID,logFC
64581,0.684551079
4046,-0.737628937
3265,-0.591166957
22808,-0.975638851
22800,0.855675215
5894,0.407184443
5970,0.471198218
5971,1.315860465
3592,0.515386417
3553,4.704100292
5781,-0.511699955
4791,0.627150372
5336,0.333085875
3708,-0.787165697
3709,1.266884184
3710,1.428466106
805,-0.649997426
5530,-0.446070816
5533,1.210272698
4772,0.303997679
4775,-0.364321531
3586,1.614390009
1959,-1.90066951
5743,2.529384107
114548,1.506906375
29108,-0.726902136
64170,-1.084927532
10892,0.416252116
841,0.813170685
4792,1.201103436
4790,1.171230545
3569,2.683036586
51561,0.780590758
5603,-1.669540085
5599,-0.22366372
3725,-0.74846968
93978,2.947460771
2207,1.333897375
5058,-0.726388114
8844,0.21553042
1263,0.518307442
6714,-0.321231794
9641,0.617742816
1540,0.703086249
602,0.941654782
6361,0.388646859
26253,2.31346281
5293,0.683189026
5295,-0.510155625
5296,-0.72864219
4193,0.35076455
3659,1.280798375
338339,3.240819271
