ENTREZID,logFC
7188,1.029351292
8737,0.390805723
329,0.660815446
330,1.657034094
81858,-0.349229726
124044,0.317116304
1540,0.703086249
841,0.813170685
8837,1.074177527
1536,0.808232199
818,0.197167594
291,0.447122647
292,-0.559267449
7416,-0.84560635
7417,-0.348510671
7419,-0.658204075
2746,-0.764060033
5836,-0.806467171
5834,-0.727873179
5599,-0.22366372
2495,0.519208955
2512,-0.092355341
283748,0.109576659
824,-1.826137136
6609,-0.277245484
114548,1.506906375
29108,-0.726902136
3553,4.704100292
25978,0.487475281
29082,-0.750565323
79643,-0.341333382
51510,0.870615602
54822,0.25197249
3552,2.650571993
8743,1.988728624
356,0.839255973
11124,-0.640838148
3449,-0.170588517
3456,0.761617073
3458,0.488253083
3454,0.434156785
3459,0.579820473
3460,0.66352833
3718,0.167375901
6774,0.579187908
6775,3.171678351
6778,-0.456113841
5610,1.629866083
353376,0.496870677
148022,0.37721284
81030,1.57756966
8878,-1.097989604
3320,-0.882422364
3326,-1.325780101
7128,1.573328864
142,0.468032071
9131,-0.823255093
5478,-0.447192514
