ENTREZID,logFC
7039,1.33941378
2069,1.170453341
2246,-0.173055027
2251,-0.425512165
8817,-0.219150977
5155,0.253748942
1435,-0.629513235
4254,-0.316001343
7422,0.54861646
7423,-0.562864054
7424,0.290245206
1944,-0.183851396
2065,-0.195905437
2261,0.11259044
5159,1.255746169
2324,-0.149123079
4233,1.385898917
6654,0.356732725
3265,-0.591166957
5894,0.407184443
5604,0.671079954
5605,-0.473545462
3667,0.291687892
7097,1.665684101
930,2.779135365
118788,2.220640715
1442,-0.24541357
5008,3.093736648
3569,2.683036586
3574,0.484828243
3449,-0.170588517
3456,0.761617073
3559,2.755245988
3560,2.793425002
3566,0.739830813
3575,2.661318936
3454,0.434156785
3718,0.167375901
1278,0.279408372
1284,-0.172743744
1291,-0.829283916
1292,-0.231394223
3909,0.364871454
3912,0.552953729
3914,0.586898496
22798,-0.16561482
7057,2.784191003
7058,0.393126953
7060,0.124264354
6696,-3.069447455
7448,0.280136944
7450,-2.359664408
3672,0.452095787
3678,0.652235815
22801,-0.456048837
3685,1.567797655
3688,0.5719224
3690,-0.532105099
3693,-0.825211368
3695,-0.661347641
3696,2.229814418
5747,0.873066728
5293,0.683189026
5295,-0.510155625
5296,-0.72864219
2149,0.786497902
54331,0.71436558
2787,-1.180935477
2788,0.569679909
94235,0.57899489
2790,0.69819787
5294,0.898659723
5170,-0.480481775
5562,0.622195947
5563,0.19583556
54541,2.097781368
7248,-0.663548157
7249,-0.438157105
1978,-0.575900553
9470,-0.733644621
6198,0.248476879
5585,0.381880592
5586,0.418609777
29941,0.412768781
9223,-0.11384193
5515,0.427878291
5516,-0.24236299
5518,-0.629987157
28227,0.14369638
5526,-0.173531555
5527,0.315906774
5525,-0.971973514
3320,-0.882422364
3326,-1.325780101
7184,-0.732832193
11140,-0.756311229
200186,0.315938072
8115,1.175963129
4515,-0.539993849
5106,-0.651196518
92579,-0.65703846
1027,0.54704139
1017,0.804751905
1019,-0.883778622
1021,-1.287160261
894,0.872000074
896,0.763530894
9134,0.224431661
356,0.839255973
10018,0.229916828
10971,-0.464837704
7533,0.284079529
598,-0.285408095
842,0.522917567
1385,0.443958313
10488,-0.299031763
64764,-0.737546084
4170,1.650128057
6256,-0.948596633
5970,0.471198218
4790,1.171230545
4602,0.360818039
4193,0.35076455
7157,-0.274192651
