ENTREZID,logFC
10369,-0.29505405
5567,-0.28455205
2768,0.887992294
5530,-0.446070816
5533,1.210272698
5923,-0.24719159
10125,2.06677556
10235,0.973927092
25780,1.125073372
5906,0.467756345
5908,0.8387402
7039,1.33941378
2069,1.170453341
2246,-0.173055027
2251,-0.425512165
8817,-0.219150977
5155,0.253748942
1435,-0.629513235
4254,-0.316001343
7422,0.54861646
7423,-0.562864054
7424,0.290245206
1944,-0.183851396
2065,-0.195905437
2261,0.11259044
5159,1.255746169
2324,-0.149123079
4233,1.385898917
6654,0.356732725
3265,-0.591166957
22800,0.855675215
22808,-0.975638851
369,0.28412143
673,0.219522589
5894,0.407184443
5604,0.671079954
5605,-0.473545462
8569,-0.639665007
6197,0.575994989
6195,-0.846140741
6196,-2.657089145
2002,0.540154554
283748,0.109576659
3552,2.650571993
3553,4.704100292
7040,-0.113537605
3554,0.594531934
7048,0.631623325
356,0.839255973
929,3.17497673
3654,-0.992309709
51135,0.523602956
7189,0.254836704
51295,-0.364315188
8491,-0.386803049
9448,-0.638841931
11184,1.268028503
5058,-0.726388114
6789,0.700109462
6788,0.500669344
5871,0.733578051
1326,1.192017383
4215,-0.521742978
9175,0.21400689
9064,-0.511678578
4217,0.969140903
4216,1.742897077
57551,-0.771763758
5609,-0.158275693
5608,-0.142824043
2316,-1.066570002
2317,-0.524685706
5599,-0.22366372
5603,-1.669540085
7867,-0.481836073
9252,0.81926327
8986,-0.940627743
4772,0.303997679
4775,-0.364321531
3725,-0.74846968
7157,-0.274192651
1649,-0.566121451
3315,-0.615389671
5494,0.449024599
1843,0.640243425
1846,0.816836307
1850,-0.434381261
1847,1.839636416
80824,0.651399425
11221,0.532516464
1845,-0.597793174
3312,-0.959296849
3306,0.220060476
3304,-1.15733673
4790,1.171230545
4791,0.627150372
5970,0.471198218
5971,1.315860465
