"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"FCGR1CP",3.43154738574737,8.05645001856471,15.1579823667283,5.03190919010807e-22,3.04827761990231e-19,39.8370153284652,"UP","FCGR1CP"
"ZNF438",2.05225073828953,7.18205184513476,15.114375264983,5.76433507802621e-22,3.31737483740408e-19,39.7031654293289,"UP","ZNF438"
"FOXO3B",-1.58593035325145,4.37023171514747,-14.9244943049997,1.04451946907304e-21,5.724961470967e-19,39.1174813057383,"DOWN","FOXO3B"
"DRAM1",1.94434938369229,7.38657512919069,14.7977346404664,1.5571947102487e-21,8.14695959771026e-19,38.7239009647753,"UP","DRAM1"
"H2AC20",1.97572061906833,9.71331167916171,14.7457598026058,1.83528466794353e-21,9.1844028382739e-19,38.5619204050438,"UP","H2AC20"
"CXCL16",1.73154590516031,9.01715684528782,14.6474062093866,2.50692836214788e-21,1.20228106034675e-18,38.2544388586664,"UP","CXCL16"
"PLPP2",2.40277147511868,5.28604209181655,14.6278929504184,2.66732073274068e-21,1.22803446535381e-18,38.1932851482132,"UP","PLPP2"
"USB1",1.47940999373376,9.2515121546987,14.535616546127,3.57866536184682e-21,1.58424762749449e-18,37.9034224535756,"UP","USB1"
"FCER1G",2.08579547122783,11.4625400145088,14.5062921075933,3.9299109337443e-21,1.67530647582952e-18,37.8110745307534,"UP","FCER1G"
"HP",5.10170052015455,6.81674577437745,14.4720049326547,4.3851578050338e-21,1.80261308342639e-18,37.70295555113,"UP","HP"
"H2AJ",1.5850295069444,9.85141322384897,14.4543623490912,4.63985365530135e-21,1.84154191629374e-18,37.6472626600552,"UP","H2AJ"
"SQOR",1.85795990691377,7.35404155342143,14.441565087955,4.83392735483107e-21,1.85461679513686e-18,37.6068396680282,"UP","SQOR"
"CD177",5.69146670893404,6.21758659603661,14.3943785495497,5.62334821819088e-21,2.08789477391539e-18,37.4576052581833,"UP","CD177"
"SERPINA1",1.27245478483697,11.7096321964416,14.1657630283534,1.17492509433912e-20,4.22605869870101e-18,36.7304398875254,"UP","SERPINA1"
"GPR84",4.38389387686435,5.8631667058341,14.1362006231053,1.2930080825108e-20,4.50985546354524e-18,36.6359081894794,"UP","GPR84"
"CARD16",1.95014588638645,7.91292736582399,14.0878049232046,1.51283856381678e-20,5.12140349103856e-18,36.4809048954042,"UP","CARD16"
"RAB32",1.4889000562384,9.00169882979736,14.0087395894915,1.95648470655311e-20,6.43403970640751e-18,36.2270079076372,"UP","RAB32"
"ZDHHC19",5.22915083290577,6.85335895816743,13.9527698244923,2.3482552072632e-20,7.48222250963795e-18,36.0467776540077,"UP","ZDHHC19"
"MICU1",1.43912095287658,6.58972888774256,13.9454274324214,2.40523225765946e-20,7.48222250963795e-18,36.0231034733735,"UP","MICU1"
"TBC1D2",1.24373685188829,6.63825393787338,13.9365502757821,2.47599102870431e-20,7.49964651062804e-18,35.9944712234433,"UP","TBC1D2"
"SLC2A3",1.34618639182731,12.5160849799021,13.926381654278,2.55963701964017e-20,7.52202993730295e-18,35.9616607142575,"UP","SLC2A3"
"ACKR3",-1.52244931595335,4.29352382042843,-13.9199416556516,2.61408512156488e-20,7.52202993730295e-18,35.9408740760631,"DOWN","ACKR3"
"LCP1",0.873561514920237,13.0461093731236,13.9066826860181,2.72990524073101e-20,7.66370959044243e-18,35.89806032561,"UP","LCP1"
"RADX",-1.50773752493831,4.43662510160259,-13.7376369330729,4.75387004555338e-20,1.3027867672457e-17,35.3501678147606,"DOWN","RADX"
"FCMR",-1.95141716429547,9.23674255266412,-13.7080665132165,5.24022148143745e-20,1.40267323840337e-17,35.2539389203181,"DOWN","FCMR"
"MRFAP1L1",-0.966707702747637,9.30551554982342,-13.6958672868992,5.4552611084261e-20,1.42704671268146e-17,35.2142061233088,"DOWN","MRFAP1L1"
"DENND11",-1.74621554274366,8.21176719685024,-13.6620471046178,6.09929792906453e-20,1.56006487030073e-17,35.1039509704231,"DOWN","DENND11"
"RPGRIP1",-2.13479295715525,4.77003831719019,-13.651218952887,6.32135251767029e-20,1.58171233648663e-17,35.0686187453692,"DOWN","RPGRIP1"
"NR3C2",-1.7375969336797,4.60336133989029,-13.6284964755523,6.8142907624544e-20,1.66877631225213e-17,34.9944248798054,"DOWN","NR3C2"
"FCGR1B",3.73921925150398,7.48395522698792,13.5930620215508,7.66182875258079e-20,1.83724268629594e-17,34.8785871106029,"UP","FCGR1B"
"KREMEN1",3.0519626843948,5.66962399175032,13.5707728344656,8.24884285187371e-20,1.93763635153197e-17,34.8056369126994,"UP","KREMEN1"
"CCR3",-4.00365737046787,6.65083366796974,-13.5316277389957,9.39216895649856e-20,2.16207729378597e-17,34.6773597012363,"DOWN","CCR3"
"MSRB2",1.54202861494416,9.46002527825896,13.5159550081678,9.8937310384924e-20,2.23287929907936e-17,34.6259437238448,"UP","MSRB2"
"FLVCR2",1.96486169369012,7.66208580237579,13.4591357906304,1.19505180378045e-19,2.64520120413711e-17,34.4392694769908,"UP","FLVCR2"
"DDIAS",2.25039046443752,6.23294174752365,13.3897727357876,1.50579497527648e-19,3.18017974489955e-17,34.2108032764819,"UP","DDIAS"
"MEGF6",-2.02329157594978,4.62098264636423,-13.3848856254588,1.53055294491605e-19,3.18017974489955e-17,34.1946821772306,"DOWN","MEGF6"
"CTSD",1.63362139906706,7.57085727248462,13.3819373742143,1.54568742938289e-19,3.18017974489955e-17,34.1849552557949,"UP","CTSD"
"ADM",2.05233673386058,10.6816837958085,13.3816319683675,1.54726382028127e-19,3.18017974489955e-17,34.1839475896472,"UP","ADM"
"ZNF431",-1.06913393354655,4.06296998515154,-13.3680458576701,1.61906070339762e-19,3.26936643791344e-17,34.1391086098447,"DOWN","ZNF431"
"ECM1",1.64965491006508,4.69532758741787,13.3500538857258,1.71935622369405e-19,3.41203278184801e-17,34.0796910451448,"UP","ECM1"
"ZNF540",-1.23766696883525,3.9879846356748,-13.3340807997682,1.81365516612653e-19,3.53816456985023e-17,34.0269047651433,"DOWN","ZNF540"
"S100A12",3.32775932145445,10.2868452637605,13.304880085589,1.99978578540875e-19,3.83625573167578e-17,33.9303176325704,"UP","S100A12"
"SNHG6",-1.16935341660781,9.31482108346593,-13.2964752998906,2.05685877994711e-19,3.87115094557656e-17,33.9024961794914,"DOWN","SNHG6"
"C1QC",3.17295890531711,4.98590597839575,13.292382894563,2.08524203845132e-19,3.87115094557656e-17,33.8889461405789,"UP","C1QC"
"FCGR1A",3.59234466838626,6.30464778162535,13.2503440175068,2.40077743662411e-19,4.38618226913388e-17,33.7496259203246,"UP","FCGR1A"
"NKTR",-1.38784449598114,8.86564483640745,-13.221370665437,2.64597283860424e-19,4.75861677692732e-17,33.6534694406597,"DOWN","NKTR"
"CD1C",-1.44041780355039,4.1050647952015,-13.1840165010717,2.9998834135446e-19,5.31210124459975e-17,33.5293344855989,"DOWN","CD1C"
"ZNF30",-1.40429466465477,4.35138720266323,-13.1738117280801,3.1046449347278e-19,5.4143126058662e-17,33.4953899089368,"DOWN","ZNF30"
"CNIH4",1.45175769732852,9.13141282505594,13.1644703423337,3.2037846826107e-19,5.50381517863421e-17,33.4643051465124,"UP","CNIH4"
"H2BC12",1.27352188815322,11.1647014694544,13.1291251116554,3.60878027059122e-19,6.10839131095661e-17,33.3465842351999,"UP","H2BC12"
"IFITM2",0.997605600997542,13.4368289778947,13.1234223740954,3.67881529733257e-19,6.13669044526057e-17,33.3275751626298,"UP","IFITM2"
"ZNF787",0.969764435265542,7.89086806939601,13.0753049656712,4.32726445567903e-19,7.11525912640937e-17,33.1670125601879,"UP","ZNF787"
"GBA",1.72271101122842,8.28221059482062,13.0538474399813,4.65260680778145e-19,7.54246540247388e-17,33.0953121509581,"UP","GBA"
"H2AC21",2.00897403668602,4.3971063384714,12.9468929319391,6.6835198590468e-19,1.06666337702107e-16,32.7370131750905,"UP","H2AC21"
"ANKRD22",4.49191798134476,7.79859300320913,12.9433175653068,6.76511090552024e-19,1.06666337702107e-16,32.7250094743042,"UP","ANKRD22"
"AMOT",-1.09912706952879,4.30613745321523,-12.8438525059666,9.48769533325138e-19,1.47572126061788e-16,32.3903935942249,"DOWN","AMOT"
"DNAJC5",1.52495570483646,6.02101147959662,12.822281938279,1.02114643124915e-18,1.5671193898237e-16,32.3176541165174,"UP","DNAJC5"
"ZNF789",-1.53902352971746,4.77589686565535,-12.7799093384109,1.17999615189668e-18,1.78707311951721e-16,32.1745876390489,"DOWN","ZNF789"
"BTAF1",-1.00583879470511,8.16658493184617,-12.7689916059699,1.22483037744136e-18,1.83088281095455e-16,32.137686645832,"DOWN","BTAF1"
"CCN3",-2.50133008192655,5.1007398123409,-12.7350926276659,1.37532076093456e-18,1.99116916546397e-16,32.0230106490281,"DOWN","CCN3"
"STMN3",-1.89941802648566,8.73390355629291,-12.7343352315261,1.37888864962408e-18,1.99116916546397e-16,32.0204467389256,"DOWN","STMN3"
"CBX7",-1.31099610799177,8.15770420640592,-12.7332625632728,1.38395771709051e-18,1.99116916546397e-16,32.0168154513869,"DOWN","CBX7"
"PLBD1",1.78336274488866,10.9789203059653,12.727007115386,1.4138964185124e-18,2.00912935519478e-16,31.9956359514031,"UP","PLBD1"
"LILRA5",1.82740148122443,10.0197688776295,12.712353417787,1.48661871129701e-18,2.08670504475959e-16,31.9460016880207,"UP","LILRA5"
"TBC1D4",-1.8235081774017,5.41640596914582,-12.7047407229051,1.52587940559739e-18,2.11600866968988e-16,31.9202051617731,"DOWN","TBC1D4"
"CACNA1E",2.77233571208068,4.89418580702454,12.6935890048735,1.58529260298148e-18,2.17222831670438e-16,31.8824024198568,"UP","CACNA1E"
"RPAIN",-1.05506712704794,8.36823852491546,-12.6862671663815,1.62556791056945e-18,2.20121019419464e-16,31.8575734990393,"DOWN","RPAIN"
"ALPL",2.26842082229821,11.6812437226294,12.6310380149671,1.96466362499155e-18,2.59950495225006e-16,31.6700592668688,"UP","ALPL"
"DSE",1.23740311253177,8.04916224394597,12.6310069206171,1.96487342177024e-18,2.59950495225006e-16,31.6699535818955,"UP","DSE"
"CLEC4D",3.25981211830227,6.60296483767353,12.6195922370157,2.04344013848292e-18,2.672726817493e-16,31.631148193593,"UP","CLEC4D"
"LBH",-1.70633028020787,8.44022347565917,-12.6104886291001,2.10837090504788e-18,2.72666844012372e-16,31.6001872329427,"DOWN","LBH"
"WWP1",-1.06816433688933,7.84143365811848,-12.5697714825023,2.42529542977771e-18,3.10168337741572e-16,31.4615764033385,"DOWN","WWP1"
"NFATC2IP",-1.27421290365025,9.11955926497584,-12.5587800928441,2.51882425259025e-18,3.18589748871581e-16,31.4241216757843,"DOWN","NFATC2IP"
"CCDC65",-1.58079066328879,4.59685963254462,-12.5539349334901,2.56120294781625e-18,3.20428760101794e-16,31.4076060532966,"DOWN","CCDC65"
"GNS",1.17454720052956,11.4685387905263,12.5482006061464,2.6122912254297e-18,3.23306150588127e-16,31.3880555441544,"UP","GNS"
"SPCS3",1.31264865193205,7.34209710227409,12.5161678708987,2.91723117356889e-18,3.57205646891255e-16,31.2787641301991,"UP","SPCS3"
"MTHFD2",1.85446354297847,7.53364810906623,12.5005967559002,3.07821942041014e-18,3.72950584514954e-16,31.2255888128717,"UP","MTHFD2"
"GYG1",2.45079629675476,10.0691794985394,12.4840723807569,3.25890131667392e-18,3.90728689113717e-16,31.1691232495253,"UP","GYG1"
"ITGB2",0.732215016167649,13.2919057332507,12.428610643031,3.94752178666241e-18,4.68412121283344e-16,30.9793422652571,"UP","ITGB2"
"IFI30",1.43630521252921,9.36136255795601,12.419587364899,4.07272863864131e-18,4.78337822762872e-16,30.9484278871402,"UP","IFI30"
"FBXO6",2.28467093936616,7.29262066771688,12.4159665691968,4.12409232784711e-18,4.79477804985053e-16,30.9360197857049,"UP","FBXO6"
"IFNGR2",0.968285852785312,11.5057443595029,12.3980598926132,4.38790282797792e-18,5.05047615500259e-16,30.8746301280631,"UP","IFNGR2"
"KANSL2",-0.894089447072385,7.88043419593021,-12.3754217397244,4.74598550348486e-18,5.36094812989091e-16,30.7969593189218,"DOWN","KANSL2"
"CRIP2",-2.10225807420237,4.86079369300407,-12.3751294650553,4.75079677887813e-18,5.36094812989091e-16,30.7959560942392,"DOWN","CRIP2"
"BST1",2.1065169845884,6.56853506281776,12.3707326937659,4.82377188747136e-18,5.39044800240732e-16,30.7808629480667,"UP","BST1"
"FCER1A",-4.28937330481505,7.14882900413717,-12.3542961700732,5.10675542754553e-18,5.65180336260087e-16,30.7244175548776,"DOWN","FCER1A"
"MAN1C1",-1.67542579659812,4.57127650581503,-12.3014764803711,6.13491449783101e-18,6.72503484476523e-16,30.5427876534853,"DOWN","MAN1C1"
"BUB3",-0.863508981358931,9.96709888562904,-12.2721098913355,6.79463953378151e-18,7.37795292771935e-16,30.4416475729124,"DOWN","BUB3"
"KIF1B",1.65999343998485,8.50754814867951,12.2569261380536,7.1634133682139e-18,7.70569045496654e-16,30.3893097337044,"UP","KIF1B"
"DMAC1",-1.60913362745301,4.913391959254,-12.2538140375777,7.24146127666379e-18,7.71752030503706e-16,30.3785787198697,"DOWN","DMAC1"
"IRAK3",1.83331906862788,9.70438323568421,12.210412582541,8.4239306743322e-18,8.89536165702418e-16,30.2287919206619,"UP","IRAK3"
"SIPA1L2",2.40161297651085,7.8833035703135,12.1961564951838,8.85348421362269e-18,9.21874525374208e-16,30.1795378124809,"UP","SIPA1L2"
"GPR141",2.71612259405686,5.24611509319133,12.1939698158838,8.92130223229281e-18,9.21874525374208e-16,30.1719805959018,"UP","GPR141"
"SLC38A1",-1.62460833612859,9.22921201990631,-12.1923954121205,8.97045585073078e-18,9.21874525374208e-16,30.1665390326192,"DOWN","SLC38A1"
"S100A8",0.674995340304493,13.615754101195,12.1827272303043,9.27835930475314e-18,9.45078899094767e-16,30.1331161130598,"NOT","S100A8"
"MSRB1",1.11365944993842,12.2753862692982,12.1427612563894,1.06687390458727e-17,1.07716830191224e-15,29.9948245454136,"UP","MSRB1"
"IL11RA",-2.01092296644555,7.95479798010501,-12.1317055073076,1.1089295269279e-17,1.10989381347306e-15,29.9565323880861,"DOWN","IL11RA"
"RPS6KA5",-2.07806906916186,8.39272244578528,-12.1046096552056,1.21922561194921e-17,1.20976610289098e-15,29.862617327404,"DOWN","RPS6KA5"
"ZNF529",-1.36925427257526,5.97020282840987,-12.1000817553207,1.23870957788897e-17,1.21859378132496e-15,29.8469141863458,"DOWN","ZNF529"
"IFITM1",1.42159489229993,12.1921256392169,12.0814654804994,1.32217963195141e-17,1.28968538675938e-15,29.7823233995723,"UP","IFITM1"
"TDRD9",3.44642284693024,6.12515938318802,12.0769069645247,1.34347084090888e-17,1.29944112427405e-15,29.7665003769502,"UP","TDRD9"
"FOSL2",1.18228064405206,5.20411695463438,12.0680191153909,1.38598424068119e-17,1.32938988418671e-15,29.7356420952351,"UP","FOSL2"
"RAB20",2.76716604173495,5.18136333800826,12.0645786255992,1.40280383468239e-17,1.33440265596647e-15,29.7236940923608,"UP","RAB20"
"GNA15",1.28868997108812,7.67059364492271,12.0459365951886,1.49759192762807e-17,1.4128920563114e-15,29.658928072815,"UP","GNA15"
"UBE2C",2.09349933635264,5.1946761406509,12.0318825267571,1.5733089935466e-17,1.47225906631881e-15,29.6100717530958,"UP","UBE2C"
"ABCA1",1.90655539321375,9.24110741103852,12.0042603909577,1.73358822901319e-17,1.60916133193079e-15,29.5139740936804,"UP","ABCA1"
"S100A6",0.946122795455679,11.7969179922807,11.9937575116209,1.79877535563043e-17,1.6563123474645e-15,29.4774085836907,"UP","S100A6"
"POMP",0.822597163832175,10.0246537999798,11.9892834640444,1.82729089304868e-17,1.66921572849129e-15,29.4618279685433,"UP","POMP"
"CSTA",1.71003071468854,5.15528904594514,11.9834516860693,1.86514678296354e-17,1.69038106078034e-15,29.44151525127,"UP","CSTA"
"LANCL1",-1.29477078435318,6.77476175565739,-11.9775977544476,1.90394345062355e-17,1.71206164974039e-15,29.4211209512247,"DOWN","LANCL1"
"CD40LG",-1.49917740818263,4.37923972829456,-11.9622023869452,2.00991269291894e-17,1.79334070507729e-15,29.3674644636288,"DOWN","CD40LG"
"SETD6",-1.52073594167234,4.71611222050407,-11.9489159553338,2.10614590777092e-17,1.86474918449564e-15,29.321133519772,"DOWN","SETD6"
"CA4",2.84021594913649,8.37683108426201,11.9345545783247,2.21540879558361e-17,1.94651566695934e-15,29.2710285377997,"UP","CA4"
"BCKDHB",-1.0904242778065,4.1753168893285,-11.9254337080476,2.28775709932111e-17,1.9948548646353e-15,29.2391931978603,"DOWN","BCKDHB"
"OPLAH",3.25074906732872,6.14486505489258,11.9106949344976,2.4097480366076e-17,2.08542856401154e-15,29.1877265629145,"UP","OPLAH"
"ZNF286B",-1.29544998484102,4.41682141759649,-11.8765658639099,2.71807274787833e-17,2.33470278567758e-15,29.068443193957,"DOWN","ZNF286B"
"ZNF512",-0.92674492576461,7.53522592803318,-11.8459635535345,3.02831606495323e-17,2.58191984500827e-15,28.961358753285,"DOWN","ZNF512"
"ATL3",1.3175588094641,6.38356282566056,11.8404438461004,3.08797075671514e-17,2.60985610676518e-15,28.9420312410623,"UP","ATL3"
"DDAH2",2.13914409618535,6.76089137620824,11.8387575054728,3.10643168224874e-17,2.60985610676518e-15,28.9361256612549,"UP","DDAH2"
"MAZ",1.96087378304411,5.90129837300623,11.8194816722502,3.32554099098078e-17,2.75586615623158e-15,28.8685956088273,"UP","MAZ"
"PCED1B-AS1",-1.50276610347592,4.65839931721091,-11.8192634052359,3.3281094328079e-17,2.75586615623158e-15,28.8678306695988,"DOWN","PCED1B-AS1"
"CA5B",-1.60666755057741,5.58772234536435,-11.8096756724567,3.44293190060742e-17,2.83058186971367e-15,28.8342234484176,"DOWN","CA5B"
"GATA2",-1.75544097790727,4.40259609215014,-11.7930129360579,3.65208925852881e-17,2.98124449401891e-15,28.7757886886383,"DOWN","GATA2"
"OGT",-1.11448557257124,9.91786288141711,-11.7909237658035,3.67920337567393e-17,2.98222752493007e-15,28.7684596433822,"DOWN","OGT"
"CD47",-1.04031151003015,8.6973991551893,-11.7846345962436,3.76206042224533e-17,3.02806401818488e-15,28.7463931545293,"DOWN","CD47"
"MYD88",1.00942601187924,9.39293334595805,11.7252751578943,4.6432187471149e-17,3.71135054022865e-15,28.5378726835157,"UP","MYD88"
"CLIC1",0.738785396093295,11.4746244076723,11.7149228534924,4.81701230604104e-17,3.82371114776086e-15,28.5014605947429,"UP","CLIC1"
"CERK",-0.859147097740285,8.76382966215688,-11.712719377578,4.85484397784965e-17,3.82734617705818e-15,28.4937085610018,"DOWN","CERK"
"TMEM181",-1.33543682296959,8.46220633134884,-11.6937263291131,5.19363479436567e-17,4.06658071313938e-15,28.4268636050184,"DOWN","TMEM181"
"DNASE1L1",1.14990291460791,7.26065005653521,11.6799991062867,5.45327425094906e-17,4.24102612354214e-15,28.3785228365778,"UP","DNASE1L1"
"MEF2D",-1.28569610397649,7.01679858806217,-11.6714824967509,5.62090942251784e-17,4.34205821833425e-15,28.3485193296634,"DOWN","MEF2D"
"C19orf38",1.59511718412963,6.94368986909675,11.6629553613958,5.79396697171069e-17,4.445903989626e-15,28.3184695043119,"UP","C19orf38"
"ZNF548",-1.48948548314236,5.19264622160603,-11.6585594113087,5.88527441829034e-17,4.48606016917363e-15,28.3029744640137,"DOWN","ZNF548"
"MTF1",1.56018069087781,9.17955705440796,11.6295650123421,6.52502755231363e-17,4.9409912583638e-15,28.2007122679748,"UP","MTF1"
"ATOX1",1.55660458016703,7.66976261320023,11.6124876790641,6.93424877548238e-17,5.21654924220929e-15,28.1404312447941,"UP","ATOX1"
"AKIRIN2",0.97993899121489,9.59426590155505,11.5988127835656,7.28055627661066e-17,5.43391579484249e-15,28.0921338049883,"UP","AKIRIN2"
"P2RY10",-2.21752814432636,6.04966701439067,-11.5970503412523,7.32644162606498e-17,5.43391579484249e-15,28.0859074322665,"DOWN","P2RY10"
"AQP9",1.22761909192145,12.2517137683295,11.595584751144,7.36482071238426e-17,5.43391579484249e-15,28.0807294825182,"UP","AQP9"
"NUP107",-0.646708161337128,7.02930536397839,-11.5923849551112,7.44932004340135e-17,5.46125310188214e-15,28.0694236154715,"NOT","NUP107"
"NT5DC1",-0.941023922487791,6.84459776126856,-11.5480621028114,8.72572018344463e-17,6.35652147540808e-15,27.912684212254,"DOWN","NT5DC1"
"GCSAM",-1.14656901274284,3.94347100904208,-11.5334541323868,9.19309124670516e-17,6.65487297167147e-15,27.860971564301,"DOWN","GCSAM"
"GADD45B",1.35668358276266,7.74092381164963,11.5315944928072,9.25437550056286e-17,6.65736637571741e-15,27.8543864554926,"UP","GADD45B"
"PIK3IP1",-1.51199332099273,8.93816197578312,-11.5269005235176,9.4109059382381e-17,6.7178262071638e-15,27.8377628571573,"DOWN","PIK3IP1"
"WDR59",-0.866665902295392,7.51933956915993,-11.5255880146767,9.45515069991777e-17,6.7178262071638e-15,27.8331141369366,"DOWN","WDR59"
"PPP1R2",-1.11269416049659,8.24855557194483,-11.495771209031,1.05188731786498e-16,7.42774418934103e-15,27.7274488410159,"DOWN","PPP1R2"
"NCR3",-1.69192403061147,4.68557885180854,-11.4851726498838,1.09254308196417e-16,7.66778711793148e-15,27.6898625654561,"DOWN","NCR3"
"FLOT1",1.68155607292375,8.7430270394611,11.468437350811,1.15999518870527e-16,8.09184522545309e-15,27.6304845046329,"UP","FLOT1"
"H3C4",1.95652101002741,5.10698073834236,11.4571470176588,1.20786172591052e-16,8.37499305134341e-15,27.5904057361443,"UP","H3C4"
"SIGLEC9",1.88506052026883,6.80392778602415,11.4520966867012,1.22991395893852e-16,8.47683213615712e-15,27.5724727461815,"UP","SIGLEC9"
"ZNF721",-0.747377610911415,7.53023470051284,-11.4409031009615,1.28025070110207e-16,8.7318494382413e-15,27.5327145666449,"DOWN","ZNF721"
"RYK",-0.912857869830217,7.01632135464696,-11.4405031242703,1.28208736321701e-16,8.7318494382413e-15,27.5312936105213,"DOWN","RYK"
"PHC2",1.37114987684244,7.64446885199644,11.421680211166,1.37159759387843e-16,9.23694853666762e-15,27.4644007478161,"UP","PHC2"
"UPP1",1.98565236898293,9.87011822457857,11.4210017552472,1.37493918339408e-16,9.23694853666762e-15,27.4619888242264,"UP","UPP1"
"FPR1",1.23393392912919,12.3258937888991,11.4188336077094,1.38567313108838e-16,9.23694853666762e-15,27.4542806331902,"UP","FPR1"
"GSE1",-1.51400913138886,7.07683860637338,-11.4182953314978,1.38835108326976e-16,9.23694853666762e-15,27.4523668643442,"DOWN","GSE1"
"MYBL1",-2.25340177350654,5.57895725812573,-11.4134610769589,1.41263715867926e-16,9.31568671906773e-15,27.4351776985878,"DOWN","MYBL1"
"CAV2",1.53156095197,4.21630841929418,11.4127249198108,1.41637287214323e-16,9.31568671906773e-15,27.4325598874498,"UP","CAV2"
"TBC1D8",2.15957181008406,6.43217290239385,11.4082536055188,1.4392783042056e-16,9.41255300079914e-15,27.4166582193367,"UP","TBC1D8"
"CLEC5A",3.03631075717841,5.04352314524123,11.3782556724411,1.60293134493173e-16,1.0423581796703e-14,27.3099098285847,"UP","CLEC5A"
"NECTIN2",1.9777127085792,5.52197600702784,11.365837251595,1.67606414982819e-16,1.0837920429507e-14,27.2656857478035,"UP","NECTIN2"
"ZBED5",-0.711704646745551,9.08249604899504,-11.3620237232759,1.69919139395051e-16,1.09260854437823e-14,27.2521012810263,"DOWN","ZBED5"
"CCDC14",-1.30041109755832,7.11927200945601,-11.3490390174491,1.78038096567896e-16,1.13397202043606e-14,27.2058338829472,"DOWN","CCDC14"
"ST3GAL4",1.77312374822276,5.53319017692957,11.3485954314238,1.78322272544681e-16,1.13397202043606e-14,27.2042529169125,"UP","ST3GAL4"
"BMX",2.97059426935623,5.51762984660552,11.3463391426613,1.79774829659719e-16,1.13692763152932e-14,27.1962109958627,"UP","BMX"
"GSTO1",1.01968073713569,10.5384047151114,11.3442533222954,1.81128265305278e-16,1.13922750473429e-14,27.1887760998931,"UP","GSTO1"
"ARIH2",-0.795495300021806,7.88154088622476,-11.3393772296185,1.84332505422696e-16,1.15063553371485e-14,27.1713931841775,"DOWN","ARIH2"
"ZNF256",-1.50393894048929,4.48982122584503,-11.3384602883154,1.84941419406817e-16,1.15063553371485e-14,27.1681240252787,"DOWN","ZNF256"
"ZNF395",-1.53444060136209,7.70183283314633,-11.3295538792477,1.90962590729574e-16,1.18170936521365e-14,27.1363646901475,"DOWN","ZNF395"
"SNORD4A",-1.28097079561174,4.43991072133448,-11.2898203219987,2.20329948006556e-16,1.35614850350559e-14,26.9945591257212,"DOWN","SNORD4A"
"SHKBP1",1.56632488032842,7.32118201053687,11.2780959576434,2.29837589332381e-16,1.40714396447644e-14,26.9526785660629,"UP","SHKBP1"
"TARBP1",-1.7778529252381,4.96960954890453,-11.2735648550937,2.3362200710434e-16,1.42274566231267e-14,26.9364884798728,"DOWN","TARBP1"
"JUNB",1.45726652927828,7.34523484837923,11.2672995885942,2.38958660634697e-16,1.44758641258177e-14,26.9140978741667,"UP","JUNB"
