"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"NLRC4",2.90260753745558,6.70514436499047,18.9431392332414,8.83688285198673e-27,1.01712521626367e-22,50.5690055310902,"UP","NLRC4"
"KLHL3",-2.45374943675797,5.03571583247496,-18.6148466873867,2.14569457367009e-26,1.23484722714713e-22,49.7040810040904,"DOWN","KLHL3"
"MCEMP1",4.24503652546389,9.88700455462395,18.1184028243877,8.3844641922488e-26,3.21683942842612e-22,48.3735061512781,"UP","MCEMP1"
"ID3",-2.51868526827403,5.16013366285749,-17.3836104248839,6.61781006139644e-25,1.90427484516682e-21,46.3527445103345,"DOWN","ID3"
"GRN",1.7793754616582,9.59635443086486,16.7697072525148,3.89341405477712e-24,8.96263915409694e-21,44.6159975483294,"UP","GRN"
"C1QB",4.75142293561459,5.88773517228871,16.6170562406885,6.08973412511034e-24,1.04417638235411e-20,44.1771356274304,"UP","C1QB"
"SIGLEC5",2.62110326302648,7.13003033839245,16.5681349368902,7.03241218071251e-24,1.04417638235411e-20,44.0358921457738,"UP","SIGLEC5"
"SMARCD3",2.68299863679289,7.00041668941063,16.5574373378871,7.25752481219188e-24,1.04417638235411e-20,44.0049677123862,"UP","SMARCD3"
"AGTRAP",2.02141839939801,7.57188665095169,16.1836041586025,2.20107051840175e-23,2.8149246296449e-20,42.9155009611769,"UP","AGTRAP"
"ANKRD33",2.25277064906528,5.98490655830015,15.9530557568319,4.39906015734052e-23,5.06331824109894e-20,42.2350114237856,"UP","ANKRD33"
"CARNS1",-1.95060449213986,4.75143288578744,-15.7315753742978,8.60696601513554e-23,9.00601625765546e-20,41.5750400076752,"DOWN","CARNS1"
"TCN2",2.57756685570636,5.07664205558276,15.672394950475,1.0307910203853e-22,9.88700387052896e-20,41.3976498507274,"UP","TCN2"
"AIM2",2.90142516973574,9.15692169360577,15.6424893819981,1.12932262816007e-22,9.99884880778645e-20,41.307841532663,"UP","AIM2"
"BRI3",1.38084604816743,10.4004832699197,15.54526077768,1.52070076328022e-22,1.25023327038252e-19,41.0150767501726,"UP","BRI3"
"TLR5",2.45711436223365,8.7724777560614,15.4768511618464,1.87613785854411e-22,1.43962311678951e-19,40.8083710355392,"UP","TLR5"
"NTN3",2.72983419812578,4.89677849989054,15.4208603570831,2.22899835286442e-22,1.60348569009184e-19,40.6387475415541,"UP","NTN3"
"AGAP6",-1.71672193982194,8.20551860329494,-15.3056130159417,3.18190976168185e-22,2.15434007982106e-19,40.288350407374,"DOWN","AGAP6"
"DYSF",2.24526136021857,10.4607081509259,15.1673866179275,4.88673420107729e-22,3.04827761990231e-19,39.8658492154762,"UP","DYSF"
