"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"FABP4",-7.29965653741667,9.66074618457143,-30.5801861890236,3.46813608402656e-14,6.31096723210313e-10,21.4154981263723,"DOWN","FABP4"
"C20orf160",3.7601270565,8.01136858778571,25.5912528822638,3.99425446919238e-13,3.18977957996698e-09,19.601800741388,"UP","C20orf160"
"NFIL3",1.89467842604166,9.15013537314286,25.0816398342452,5.25874525465788e-13,3.18977957996698e-09,19.3859126895214,"UP","NFIL3"
"PTGES",4.89793076375,9.19489455928571,20.5364069171946,7.98357021285324e-12,3.10231624037756e-08,17.1375712525353,"UP","PTGES"
"BTG1",2.99092941708333,12.6508627607143,20.164959839439,1.02191416160853e-11,3.10231624037756e-08,16.9241764187762,"UP","BTG1"
"SEMA4B",1.84627664125,8.10282841957143,20.1635065960747,1.02291022928314e-11,3.10231624037756e-08,16.9233314944069,"UP","SEMA4B"
"MRPS6",2.08279710541666,13.0293246128571,19.7510724158091,1.35233985612543e-11,3.51550405170206e-08,16.680304274305,"UP","MRPS6"
"TM4SF19",-3.26850773033333,9.50196051028571,-18.3528986606894,3.6348021837353e-11,8.2678119171789e-08,15.8058015656351,"DOWN","TM4SF19"
"ANXA11",-1.90823759870834,9.83049266335714,-17.4100196341257,7.37072916024435e-11,1.44605188181899e-07,15.1681097531374,"DOWN","ANXA11"
"FAM20A",2.12502222687499,7.16650607885714,17.3123494836373,7.94664989734018e-11,1.44605188181899e-07,15.0996750212647,"UP","FAM20A"
"SLC35B1",-1.04379486125,10.7596972385714,-17.1600951313235,8.94244614006642e-11,1.47932447646172e-07,14.992070527093,"DOWN","SLC35B1"
"GJB2",5.11760416141666,10.0807632724286,17.0071403945895,1.00782580040455e-10,1.52828384083013e-07,14.8828226691473,"UP","GJB2"
"FNDC3B",2.19908391533333,10.5473322998571,16.7812570506587,1.20464799672555e-10,1.68622919972421e-07,14.7193444997688,"UP","FNDC3B"
"HSD3B7",-2.83868015645833,8.07628098078571,-16.5996729460177,1.39262260048272e-10,1.81011096149886e-07,14.5860420189217,"DOWN","HSD3B7"
"UTS2",-1.45237417720834,7.53935336207143,-16.1518901047333,2.00374053608185e-10,2.4308044356721e-07,14.2499388136065,"DOWN","UTS2"
"MAPBPIP",-1.35064543087501,10.3600660159286,-15.8016037199024,2.68062192110783e-10,2.92989481245841e-07,13.9794538886484,"DOWN","MAPBPIP"
"CLEC6A",2.94746077091666,8.1413272115,15.7767449558092,2.7371661159418e-10,2.92989481245841e-07,13.959999189167,"UP","CLEC6A"
"HCK",1.95481250841666,11.5491136219286,15.6434716964101,3.06283907545063e-10,3.00695609857113e-07,13.8551025225083,"UP","HCK"
"PDIA5",-1.1224971875,7.01869726021429,-15.6142453654137,3.13964751732986e-10,3.00695609857113e-07,13.8319639660185,"DOWN","PDIA5"
