"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"RPS29",0.433955528014767,14.0451156570417,4.15123898125876,9.59015454453592e-05,0.00176060761732707,1.07343258448597,"NOT","RPS29"
"SLC43A3",0.138774775825256,7.40047107907752,4.15024210693807,9.62336892230662e-05,0.00176432747590391,1.0701840006199,"NOT","SLC43A3"
"UBTF",0.116141676564304,7.40402593388216,4.14948113791701,9.6487979931897e-05,0.00176573227221221,1.06770448158589,"NOT","UBTF"
"PNOC",0.16856102307908,7.31688775227913,4.14923741914829,9.65695597414546e-05,0.00176573227221221,1.06691041115352,"NOT","PNOC"
"OSBPL1A",-0.436886607865354,8.18365719270907,-4.14769290328776,9.70881045089303e-05,0.00177283399412956,1.06187878627773,"NOT","OSBPL1A"
"MAPKAPK5",-0.193924402322041,7.61629502113789,-4.14141856447224,9.92223774612257e-05,0.00180938048966107,1.04144980596359,"NOT","MAPKAPK5"
"ZNF2",-0.0978566135004106,7.29183424031366,-4.13696100362331,0.000100766094892969,0.00183507452490913,1.026947075867,"NOT","ZNF2"
"BRWD3",-0.143155221664433,7.35382967990443,-4.13637567148536,0.000100970517371608,0.00183634230659018,1.02504336385617,"NOT","BRWD3"
"RHBDD3",0.112333205484365,7.2071489679227,4.13193162452056,0.000102535671387715,0.00186232122085793,1.01059481973644,"NOT","RHBDD3"
"OR7G2",0.118136431598593,7.0985349926957,4.12960997132332,0.000103362620737865,0.00187484103820398,1.0030502215462,"NOT","OR7G2"
"KCTD20",0.301901710397944,8.89121052117376,4.12867621588482,0.000103697026327675,0.00187840544233456,1.00001652362527,"NOT","KCTD20"
"SAMD9",0.551399037388192,9.19151657195656,4.12532942769556,0.000104904207708121,0.0018977491598938,0.989146353622512,"NOT","SAMD9"
"RACGAP1",0.196022270870783,7.44983238408532,4.12444957835232,0.000105223811946804,0.001901006321405,0.986289507367361,"NOT","RACGAP1"
"EIF2B5",0.158577904897556,7.29059780889953,4.12333718349071,0.000105629232917413,0.00190280569165121,0.982678100593245,"NOT","EIF2B5"
"CUL9",0.107000865756516,7.20562606878369,4.12324645384675,0.000105662366431259,0.00190280569165121,0.982383570472084,"NOT","CUL9"
"SLC2A11",-0.590609230012996,7.88851814403876,-4.12302722280817,0.000105742468696224,0.00190280569165121,0.981671909686698,"NOT","SLC2A11"
"KLHDC10",-0.0700284909290234,7.14409303803408,-4.12178439356997,0.000106197680158704,0.00190847598828742,0.977637894190647,"NOT","KLHDC10"
"FOXJ1",0.126803075487591,7.14691771418,4.11909425309037,0.000107189482455863,0.00192376169962288,0.96890857833053,"NOT","FOXJ1"
"APOL4",0.0923585188009284,7.10285069422589,4.11831985008944,0.000107476642119566,0.00192637739335885,0.966396311718233,"NOT","APOL4"
"JKAMP",-0.243504884262101,8.28520983887458,-4.11622449247275,0.000108257355938712,0.00193782089697389,0.959600074715789,"NOT","JKAMP"
"DVL3",-0.124689248843644,7.34031398887458,-4.11557582855102,0.000108500149898694,0.00193961816524935,0.957496559872367,"NOT","DVL3"
"NSF",0.332672929947547,9.47516251353709,4.11315361722296,0.000109411431069106,0.00195189922793415,0.949643422464985,"NOT","NSF"
"ANKRD55",-0.450597409546675,7.66974973922633,-4.11298876345405,0.000109473719728504,0.00195189922793415,0.949109042409336,"NOT","ANKRD55"
"CALML5",0.090562589645379,7.14273795892381,4.11233460588224,0.000109721225172157,0.00195375494025505,0.946988688013503,"NOT","CALML5"
"PRKCD",-0.548273237212738,10.7426907515438,-4.11193848774118,0.000109871361722887,0.00195387426813208,0.945704825874973,"NOT","PRKCD"
"LYN",-0.428920807189586,12.9267529384562,-4.10799819720285,0.000111375637965888,0.00197804294702911,0.932937853275542,"NOT","LYN"
"MUL1",0.126505842646538,7.64177908029873,4.10644796028501,0.000111972896669883,0.00198606093546504,0.927916879725977,"NOT","MUL1"
"MT1A",0.740023931619943,9.99581120810359,4.10469254352333,0.000112652934010153,0.00199552440453355,0.922232700932641,"UP","MT1A"
"CDKN1C",-0.202629660907803,7.29446700464714,-4.10349752440309,0.000113118153545241,0.00199640071326151,0.918363948833766,"NOT","CDKN1C"
"CYRIA",-0.287312445997565,7.89339370084607,-4.10341771627615,0.000113149288662757,0.00199640071326151,0.918105601707382,"NOT","CYRIA"
